2021-08-09 00:09:13 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-08-09 00:09:13 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-08-09 00:09:13 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-08-09 00:09:13 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-08-09 00:09:13 INFO  Version:46 - HHH000412: Hibernate Core {5.4.2.Final}
2021-08-09 00:09:13 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2021-08-09 00:09:13 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2021-08-09 00:09:13 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2021-08-09 00:09:13 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2021-08-09 00:09:14 DEBUG Configuration:722 - Building session factory using internal StandardServiceRegistryBuilder
2021-08-09 00:09:14 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2021-08-09 00:09:14 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2021-08-09 00:09:14 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2021-08-09 00:09:14 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2021-08-09 00:09:14 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@6be25526
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@6be25526
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6be25526
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@213860b8
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@1b005a0b
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@e4d2696
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@99a78d7
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@99a78d7
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@99a78d7
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@4390f46e
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@4390f46e
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4390f46e
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@6ed06f69
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@6ed06f69
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@6ed06f69
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@67403656
2021-08-09 00:09:14 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@67403656
